TweetID,Date,Month,DayOfWeek,Hour,Topic,Hashtag,Sentiment,SentimentScore,Language,Device,Source,Likes,Retweets,Replies,Impressions,Verified,FollowerCount
TW100020,2023-07-05,Jul 2023,Wednesday,11,Economy,#Finance,Positive,0.845,French,Desktop,iPhone,1,0,0,197,1,611
TW100021,2023-12-16,Dec 2023,Saturday,22,Economy,#Stock,Positive,0.495,Hindi,Web,Buffer,36,7,7,157,0,203
TW100022,2023-05-09,May 2023,Tuesday,4,Health,#Fitness,Negative,-0.535,French,Mobile,iPhone,2,0,0,508,0,544
TW100023,2023-03-27,Mar 2023,Monday,20,Food,#Food,Negative,-0.313,English,Mobile,iPhone,11,4,0,15,0,190
TW100024,2023-01-10,Jan 2023,Tuesday,15,Climate,#COP28,Positive,0.654,French,Mobile,iPhone,135,33,21,575,0,26
TW100025,2023-06-27,Jun 2023,Tuesday,12,Fashion,#OOTD,Neutral,-0.061,Hindi,Mobile,Android,42,9,10,1178,0,473
TW100026,2023-08-03,Aug 2023,Thursday,10,Sports,#Cricket,Negative,-0.686,Hindi,Mobile,Twitter Web,12,2,1,590,1,1328
TW100027,2023-06-13,Jun 2023,Tuesday,4,Climate,#SaveEarth,Neutral,0.073,English,Web,Twitter Web,19,2,1,434,0,1138
TW100028,2023-12-27,Dec 2023,Wednesday,8,Health,#Health,Neutral,0.069,English,Mobile,Android,5,0,0,1591,0,2996
TW100029,2023-05-24,May 2023,Wednesday,6,Entertainment,#Series,Negative,-0.162,English,Web,Twitter Web,7,2,1,60,1,57
TW100030,2023-08-23,Aug 2023,Wednesday,17,Sports,#NBA,Neutral,-0.085,English,Mobile,Twitter Web,14,1,0,603,1,158
TW100031,2023-05-16,May 2023,Tuesday,21,Climate,#COP28,Positive,0.799,English,Desktop,Buffer,213,69,26,282,0,285
TW100032,2023-06-22,Jun 2023,Thursday,16,Sports,#Football,Positive,0.314,English,Web,Twitter Web,72,24,14,571,0,751
TW100033,2023-02-13,Feb 2023,Monday,17,Climate,#COP28,Neutral,0.094,Portuguese,Mobile,TweetDeck,11,4,0,403,0,244
TW100034,2023-09-16,Sep 2023,Saturday,7,Technology,#AI,Negative,-0.418,French,API,iPhone,15,1,1,92,0,876
TW100035,2023-08-16,Aug 2023,Wednesday,17,Food,#Foodie,Positive,0.84,Hindi,Mobile,Android,84,25,6,1209,0,870
TW100036,2023-11-08,Nov 2023,Wednesday,21,Music,#NewSong,Positive,0.775,Hindi,Mobile,Android,75,18,18,236,0,841
TW100037,2023-04-09,Apr 2023,Sunday,9,Technology,#AI,Negative,-0.346,English,Mobile,Twitter Web,22,7,5,439,0,284
TW100038,2023-02-20,Feb 2023,Monday,21,Music,#Concert,Positive,0.568,Hindi,Mobile,Twitter Web,48,9,3,556,0,367
TW100039,2023-08-10,Aug 2023,Thursday,1,Technology,#Python,Negative,-0.877,English,Mobile,iPhone,42,12,8,119,0,891
TW100040,2023-11-04,Nov 2023,Saturday,9,Fashion,#Fashion,Positive,0.934,English,Web,Android,48,17,11,79,0,68
TW100041,2023-02-22,Feb 2023,Wednesday,7,Climate,#SaveEarth,Neutral,-0.072,English,Web,iPhone,1,0,0,82,0,1192
TW100042,2023-07-14,Jul 2023,Friday,0,Music,#Spotify,Neutral,-0.082,Hindi,Mobile,iPhone,0,0,0,97,0,440
TW100043,2023-08-06,Aug 2023,Sunday,3,Politics,#Vote,Positive,0.102,English,Mobile,Android,58,14,4,236,0,1379
TW100044,2023-05-07,May 2023,Sunday,10,Entertainment,#Bollywood,Positive,0.86,Spanish,Mobile,Twitter Web,3,0,0,581,0,113
TW100045,2023-01-15,Jan 2023,Sunday,3,Movies,#Movies,Positive,0.409,Spanish,Mobile,Twitter Web,91,11,14,132,0,1046
TW100046,2023-04-21,Apr 2023,Friday,12,Politics,#Democracy,Positive,0.32,Hindi,Web,Twitter Web,23,4,5,467,0,2713
TW100047,2023-07-17,Jul 2023,Monday,23,Climate,#Sustainability,Positive,0.727,French,Mobile,TweetDeck,2,0,0,9,0,507
TW100048,2023-12-01,Dec 2023,Friday,21,Food,#Food,Neutral,-0.059,English,Web,TweetDeck,19,4,2,911,0,222
TW100049,2023-02-16,Feb 2023,Thursday,9,Entertainment,#Netflix,Positive,0.403,Hindi,Mobile,Twitter Web,8,1,1,26,0,796
TW100050,2023-05-10,May 2023,Wednesday,11,Politics,#Policy,Positive,0.937,English,Web,Twitter Web,45,10,5,214,0,2702
TW100051,2023-03-17,Mar 2023,Friday,20,Fashion,#OOTD,Neutral,-0.067,English,Web,Twitter Web,27,3,5,112,0,268
TW100052,2023-03-30,Mar 2023,Thursday,0,Movies,#Cinema,Neutral,-0.012,Hindi,Web,Android,18,6,3,388,0,2298
TW100053,2023-11-05,Nov 2023,Sunday,6,Health,#Wellness,Negative,-0.554,English,Mobile,Android,39,12,3,1054,0,6071
TW100054,2023-10-16,Oct 2023,Monday,23,Music,#Playlist,Positive,0.215,Hindi,Web,TweetDeck,20,6,1,936,0,776
TW100055,2023-05-10,May 2023,Wednesday,7,Entertainment,#Hollywood,Negative,-0.475,Hindi,Web,Android,8,1,0,1195,0,339
TW100056,2023-05-21,May 2023,Sunday,9,Fashion,#Style,Positive,0.737,Hindi,Mobile,TweetDeck,134,36,25,1278,0,469
TW100057,2023-01-29,Jan 2023,Sunday,22,Music,#Music,Negative,-0.217,Portuguese,Mobile,iPhone,125,43,9,1268,0,936
TW100058,2023-07-21,Jul 2023,Friday,16,Music,#Playlist,Negative,-0.567,Spanish,Web,iPhone,16,5,3,313,0,33
TW100059,2023-06-01,Jun 2023,Thursday,6,Fashion,#Fashion,Positive,0.697,English,Mobile,TweetDeck,22,6,3,28,1,614
TW100060,2023-03-04,Mar 2023,Saturday,16,Entertainment,#Series,Positive,0.521,English,Mobile,Android,25,5,5,214,0,638
TW100061,2023-09-14,Sep 2023,Thursday,6,Gaming,#Xbox,Negative,-0.224,English,Mobile,Android,15,4,1,100,0,317
TW100062,2023-03-28,Mar 2023,Tuesday,14,Sports,#Olympics,Negative,-0.464,French,Desktop,Android,24,4,2,352,0,2184
TW100063,2023-10-18,Oct 2023,Wednesday,20,Food,#Foodie,Positive,0.762,Portuguese,Desktop,iPhone,26,5,1,501,0,200
TW100064,2023-03-23,Mar 2023,Thursday,8,Entertainment,#Bollywood,Negative,-0.689,French,Web,Android,52,10,2,887,0,348
TW100065,2023-12-30,Dec 2023,Saturday,12,Entertainment,#Netflix,Neutral,0.008,French,Mobile,TweetDeck,24,5,1,156,0,245
TW100066,2023-01-04,Jan 2023,Wednesday,16,Economy,#Inflation,Neutral,-0.045,English,Mobile,iPhone,0,0,0,429,0,688
TW100067,2023-12-28,Dec 2023,Thursday,20,Food,#Cooking,Positive,0.854,English,Mobile,Twitter Web,14,4,2,425,0,731
TW100068,2023-12-29,Dec 2023,Friday,2,Politics,#Election,Positive,0.367,English,Web,iPhone,24,4,2,634,1,505
TW100069,2023-03-10,Mar 2023,Friday,1,Gaming,#Gaming,Neutral,0.025,English,Mobile,iPhone,27,9,6,84,0,78
TW100070,2023-03-02,Mar 2023,Thursday,4,Technology,#Python,Positive,0.193,Hindi,Mobile,iPhone,4,0,0,4,0,2492
TW100071,2023-11-07,Nov 2023,Tuesday,17,Technology,#AI,Neutral,0.07,English,Mobile,TweetDeck,19,6,3,589,0,250
TW100072,2023-01-26,Jan 2023,Thursday,7,Movies,#BoxOffice,Positive,0.273,Hindi,API,Twitter Web,32,6,2,656,1,2887
TW100073,2023-04-13,Apr 2023,Thursday,6,Politics,#Election,Negative,-0.636,Hindi,Mobile,Twitter Web,19,6,2,290,0,775
TW100074,2023-07-29,Jul 2023,Saturday,2,Economy,#Economy,Positive,0.576,French,Web,iPhone,1,0,0,1038,0,10
TW100075,2023-09-02,Sep 2023,Saturday,2,Technology,#MachineLearning,Positive,0.315,Hindi,Desktop,Buffer,73,16,9,668,0,352
TW100076,2023-10-20,Oct 2023,Friday,4,Politics,#Election,Positive,0.818,English,Desktop,iPhone,5,1,0,1566,0,540
TW100077,2023-12-10,Dec 2023,Sunday,13,Gaming,#Xbox,Neutral,0.066,French,API,Twitter Web,1,0,0,131,0,194
TW100078,2023-09-16,Sep 2023,Saturday,16,Movies,#Cinema,Positive,0.782,English,API,TweetDeck,131,52,11,252,0,1691
TW100079,2023-03-30,Mar 2023,Thursday,9,Economy,#Economy,Negative,-0.233,French,Desktop,Android,14,2,2,22,0,1064
TW100080,2023-08-14,Aug 2023,Monday,16,Climate,#Sustainability,Negative,-0.931,English,Mobile,Twitter Web,20,2,1,574,0,2144
TW100081,2023-02-25,Feb 2023,Saturday,12,Sports,#FIFA,Neutral,-0.068,English,Desktop,Twitter Web,11,3,1,85,0,1195
TW100082,2023-06-04,Jun 2023,Sunday,17,Movies,#Review,Positive,0.769,English,Desktop,TweetDeck,1,0,0,204,0,1784
TW100083,2023-08-12,Aug 2023,Saturday,6,Food,#Cooking,Positive,0.196,Hindi,API,Twitter Web,15,4,2,756,0,3296
TW100084,2023-08-10,Aug 2023,Thursday,0,Food,#Cooking,Negative,-0.476,English,Desktop,Twitter Web,2,0,0,34,0,77
TW100085,2023-07-11,Jul 2023,Tuesday,10,Politics,#Vote,Neutral,0.064,English,Web,Twitter Web,7,0,1,232,0,590
TW100086,2023-04-09,Apr 2023,Sunday,2,Politics,#Vote,Neutral,-0.074,French,Mobile,TweetDeck,5,1,1,130,1,163
TW100087,2023-10-30,Oct 2023,Monday,16,Food,#Cooking,Negative,-0.808,Hindi,Mobile,iPhone,124,27,28,151,0,459
TW100088,2023-03-13,Mar 2023,Monday,20,Food,#Restaurant,Negative,-0.882,English,Desktop,Twitter Web,44,15,8,492,1,3426
TW100089,2023-06-02,Jun 2023,Friday,7,Entertainment,#Netflix,Neutral,0.018,Hindi,Mobile,Twitter Web,3,0,0,197,0,607
TW100090,2023-11-16,Nov 2023,Thursday,23,Gaming,#PS5,Negative,-0.568,English,Web,iPhone,35,12,7,47,0,108
TW100091,2023-05-28,May 2023,Sunday,21,Economy,#Economy,Negative,-0.929,Hindi,Mobile,Android,21,2,2,23,0,3792
TW100092,2023-05-23,May 2023,Tuesday,8,Movies,#BoxOffice,Negative,-0.448,English,Web,Buffer,3,1,0,479,0,2047
TW100093,2023-03-25,Mar 2023,Saturday,13,Politics,#Government,Negative,-0.852,English,Web,Twitter Web,27,9,3,36,0,62
TW100094,2023-01-25,Jan 2023,Wednesday,5,Health,#Covid,Negative,-0.854,Hindi,Mobile,Android,40,14,5,54,0,259
TW100095,2023-05-11,May 2023,Thursday,23,Gaming,#Minecraft,Neutral,0.045,English,Web,iPhone,0,0,0,1013,0,424
TW100096,2023-06-01,Jun 2023,Thursday,9,Food,#Recipe,Neutral,-0.016,French,Web,Android,19,4,4,1154,1,333
TW100097,2023-01-18,Jan 2023,Wednesday,4,Food,#Cooking,Positive,0.263,Spanish,Mobile,Twitter Web,119,18,11,1777,0,574
TW100098,2023-04-21,Apr 2023,Friday,11,Economy,#Economy,Neutral,0.018,Hindi,Mobile,Twitter Web,5,1,1,6,0,3500
TW100099,2023-04-28,Apr 2023,Friday,10,Fashion,#Style,Neutral,-0.028,English,Web,iPhone,8,2,1,145,0,1090
TW100100,2023-04-30,Apr 2023,Sunday,0,Climate,#Sustainability,Neutral,-0.054,English,Desktop,Twitter Web,11,1,2,65,0,601
TW100101,2023-06-10,Jun 2023,Saturday,6,Climate,#ClimateChange,Positive,0.976,Hindi,Web,Android,32,9,1,195,0,724
TW100102,2023-10-21,Oct 2023,Saturday,5,Politics,#Policy,Positive,0.758,English,Mobile,iPhone,140,44,11,184,1,194
TW100103,2023-04-29,Apr 2023,Saturday,3,Politics,#Democracy,Negative,-0.284,English,Mobile,iPhone,53,19,10,72,0,242
TW100104,2023-12-27,Dec 2023,Wednesday,8,Climate,#SaveEarth,Negative,-0.919,English,Mobile,Twitter Web,11,3,2,698,0,1051
TW100105,2023-04-12,Apr 2023,Wednesday,14,Economy,#Stock,Positive,0.105,Spanish,Web,Twitter Web,28,9,2,393,0,941
TW100106,2023-04-03,Apr 2023,Monday,8,Climate,#ClimateChange,Positive,0.783,Hindi,Mobile,Android,0,0,0,514,0,1990
TW100107,2023-04-27,Apr 2023,Thursday,17,Politics,#Vote,Negative,-0.268,English,Mobile,Android,26,6,4,723,0,736
TW100108,2023-12-02,Dec 2023,Saturday,15,Climate,#COP28,Positive,0.537,French,Mobile,Buffer,3,1,0,53,0,1108
TW100109,2023-05-24,May 2023,Wednesday,12,Food,#Recipe,Negative,-0.837,Hindi,Web,iPhone,16,2,1,571,0,349
TW100110,2023-10-25,Oct 2023,Wednesday,20,Technology,#MachineLearning,Negative,-0.426,English,Mobile,TweetDeck,14,3,1,17,1,258
TW100111,2023-05-01,May 2023,Monday,17,Music,#Concert,Negative,-0.396,French,Web,Twitter Web,8,1,1,952,0,162
TW100112,2023-06-24,Jun 2023,Saturday,9,Health,#Health,Negative,-0.508,Spanish,Desktop,iPhone,3,0,0,467,0,999
TW100113,2023-09-15,Sep 2023,Friday,3,Music,#Spotify,Negative,-0.263,Hindi,Web,Android,17,5,0,208,0,863
TW100114,2023-02-05,Feb 2023,Sunday,4,Health,#Covid,Neutral,-0.086,French,Mobile,Android,3,0,0,366,0,1022
TW100115,2023-02-19,Feb 2023,Sunday,19,Gaming,#Xbox,Neutral,0.046,English,Mobile,Android,16,6,2,407,0,826
TW100116,2023-10-14,Oct 2023,Saturday,12,Entertainment,#Netflix,Neutral,-0.005,English,Mobile,Android,25,2,2,1987,0,3656
TW100117,2023-12-26,Dec 2023,Tuesday,19,Economy,#Bitcoin,Neutral,0.001,English,Web,iPhone,4,1,0,468,0,36
TW100118,2023-08-25,Aug 2023,Friday,5,Technology,#Tech,Positive,0.886,English,Mobile,iPhone,35,12,3,1427,1,687
TW100119,2023-09-01,Sep 2023,Friday,6,Economy,#Inflation,Negative,-0.873,English,Mobile,Android,29,8,4,639,0,84
TW100120,2023-12-13,Dec 2023,Wednesday,0,Climate,#SaveEarth,Positive,0.646,English,API,Twitter Web,134,36,19,188,0,1447
TW100121,2023-01-25,Jan 2023,Wednesday,12,Entertainment,#Series,Negative,-0.611,English,Mobile,iPhone,4,1,0,1688,1,2088
TW100122,2023-06-09,Jun 2023,Friday,17,Food,#Cooking,Neutral,-0.003,English,Web,Android,7,1,0,118,0,1187
TW100123,2023-04-09,Apr 2023,Sunday,6,Music,#Concert,Negative,-0.267,English,Mobile,iPhone,35,4,5,2856,0,190
TW100124,2023-08-19,Aug 2023,Saturday,21,Entertainment,#Bollywood,Negative,-0.34,English,Desktop,Android,6,1,0,878,1,285
TW100125,2023-08-18,Aug 2023,Friday,12,Fashion,#Designer,Positive,0.821,Spanish,Mobile,Android,12,1,1,1862,0,464
TW100126,2023-07-10,Jul 2023,Monday,19,Technology,#ChatGPT,Negative,-0.662,French,Mobile,Android,4,0,0,323,1,498
TW100127,2023-04-15,Apr 2023,Saturday,10,Movies,#Movies,Neutral,0.056,Hindi,Desktop,TweetDeck,1,0,0,145,0,488
TW100128,2023-03-20,Mar 2023,Monday,10,Economy,#Economy,Negative,-0.924,English,Mobile,iPhone,40,10,7,50,0,1620
TW100129,2023-05-13,May 2023,Saturday,4,Sports,#Olympics,Positive,0.257,Spanish,Mobile,iPhone,21,6,3,102,0,1775
TW100130,2023-02-07,Feb 2023,Tuesday,8,Gaming,#Minecraft,Positive,0.335,French,Web,iPhone,186,55,9,241,0,755
TW100131,2023-06-13,Jun 2023,Tuesday,16,Politics,#Policy,Positive,0.139,English,Mobile,Android,126,32,21,158,1,254
TW100132,2023-11-30,Nov 2023,Thursday,22,Music,#Playlist,Positive,0.993,English,Mobile,iPhone,131,39,19,170,1,298
TW100133,2023-05-29,May 2023,Monday,19,Politics,#Policy,Negative,-0.383,English,Mobile,Twitter Web,9,2,1,57,0,240
TW100134,2023-02-13,Feb 2023,Monday,4,Sports,#Football,Positive,0.619,English,Web,Twitter Web,47,6,3,53,0,619
TW100135,2023-09-18,Sep 2023,Monday,1,Gaming,#Xbox,Positive,0.654,Portuguese,Mobile,Android,80,12,12,660,0,1531
TW100136,2023-08-22,Aug 2023,Tuesday,5,Entertainment,#Bollywood,Negative,-0.242,French,Desktop,iPhone,41,13,7,705,1,5608
TW100137,2023-05-12,May 2023,Friday,12,Entertainment,#OTT,Positive,0.25,Spanish,Mobile,iPhone,54,5,4,59,0,887
TW100138,2023-01-03,Jan 2023,Tuesday,16,Entertainment,#Series,Negative,-0.257,Hindi,Web,Twitter Web,27,8,5,157,0,161
TW100139,2023-01-30,Jan 2023,Monday,19,Gaming,#PS5,Positive,0.18,Spanish,Web,Android,29,4,3,284,0,1616
TW100140,2023-04-28,Apr 2023,Friday,15,Fashion,#Designer,Negative,-0.334,English,Web,Android,5,1,1,687,0,833
TW100141,2023-04-17,Apr 2023,Monday,4,Movies,#Movies,Positive,0.303,Hindi,Web,Twitter Web,132,44,8,957,0,205
TW100142,2023-07-11,Jul 2023,Tuesday,13,Technology,#ChatGPT,Negative,-0.948,Spanish,Web,iPhone,70,26,14,96,0,145
TW100143,2023-02-05,Feb 2023,Sunday,21,Entertainment,#Series,Negative,-0.755,English,Mobile,iPhone,9,1,2,143,0,1862
TW100144,2023-10-28,Oct 2023,Saturday,17,Economy,#Bitcoin,Positive,0.91,English,Mobile,TweetDeck,7,1,0,213,0,794
TW100145,2023-07-18,Jul 2023,Tuesday,23,Gaming,#Esports,Negative,-0.822,English,Mobile,iPhone,39,15,3,530,0,369
TW100146,2023-06-10,Jun 2023,Saturday,10,Climate,#SaveEarth,Negative,-0.636,Spanish,Mobile,iPhone,34,8,8,129,0,1230
TW100147,2023-07-17,Jul 2023,Monday,21,Technology,#Tech,Negative,-0.414,English,Mobile,Buffer,56,16,7,265,0,1546
TW100148,2023-05-18,May 2023,Thursday,23,Economy,#Stock,Neutral,0.004,English,Web,iPhone,4,0,0,706,0,1077
TW100149,2023-06-17,Jun 2023,Saturday,6,Entertainment,#Bollywood,Neutral,0.06,Spanish,Web,Twitter Web,1,0,0,247,0,1726
TW100150,2023-07-16,Jul 2023,Sunday,14,Politics,#Government,Positive,0.678,English,Mobile,iPhone,22,7,2,187,1,761
TW100151,2023-09-25,Sep 2023,Monday,4,Movies,#BoxOffice,Negative,-0.834,English,Desktop,TweetDeck,9,3,0,112,0,1716
TW100152,2023-09-03,Sep 2023,Sunday,3,Climate,#Green,Negative,-0.429,French,Desktop,Android,102,22,25,551,1,3901
TW100153,2023-10-10,Oct 2023,Tuesday,19,Fashion,#Designer,Positive,0.872,Hindi,Mobile,Twitter Web,110,13,21,123,1,117
TW100154,2023-12-30,Dec 2023,Saturday,0,Food,#Restaurant,Positive,0.178,English,Mobile,TweetDeck,105,27,10,132,0,153
TW100155,2023-12-04,Dec 2023,Monday,15,Music,#NewSong,Negative,-0.972,Hindi,Mobile,Twitter Web,40,13,8,146,0,378
TW100156,2023-07-20,Jul 2023,Thursday,2,Gaming,#Minecraft,Positive,0.291,English,Desktop,iPhone,51,15,7,182,0,524
TW100157,2023-02-08,Feb 2023,Wednesday,5,Entertainment,#Netflix,Neutral,-0.011,Spanish,Web,iPhone,35,10,5,58,0,480
TW100158,2023-11-30,Nov 2023,Thursday,9,Sports,#NBA,Positive,0.92,English,Mobile,Twitter Web,125,23,27,172,0,1829
TW100159,2023-03-14,Mar 2023,Tuesday,8,Health,#Wellness,Negative,-0.763,Hindi,Mobile,Twitter Web,17,2,1,35,0,632
TW100160,2023-11-05,Nov 2023,Sunday,23,Music,#Spotify,Neutral,-0.032,English,Web,Twitter Web,0,0,0,200,0,82
TW100161,2023-09-25,Sep 2023,Monday,8,Technology,#Python,Positive,0.764,English,Web,Twitter Web,53,9,4,335,1,1106
TW100162,2023-03-06,Mar 2023,Monday,20,Technology,#ChatGPT,Positive,0.254,Hindi,Mobile,TweetDeck,31,4,3,90,0,895
TW100163,2023-12-14,Dec 2023,Thursday,5,Sports,#Olympics,Positive,0.342,English,Web,Buffer,15,2,2,2062,0,293
TW100164,2023-09-19,Sep 2023,Tuesday,19,Technology,#Tech,Positive,0.503,French,Mobile,Android,29,7,5,317,0,726
TW100165,2023-07-09,Jul 2023,Sunday,23,Economy,#Stock,Neutral,-0.044,French,Mobile,Android,8,1,1,22,0,959
TW100166,2023-02-28,Feb 2023,Tuesday,7,Gaming,#Gaming,Negative,-0.343,English,Web,iPhone,17,6,1,247,1,1251
TW100167,2023-10-28,Oct 2023,Saturday,17,Food,#Recipe,Negative,-0.457,Portuguese,Desktop,iPhone,30,3,3,33,0,1094
TW100168,2023-03-23,Mar 2023,Thursday,8,Technology,#ChatGPT,Negative,-0.398,English,Mobile,Twitter Web,2,0,0,1421,0,2189
TW100169,2023-02-20,Feb 2023,Monday,16,Movies,#Movies,Negative,-0.872,Hindi,Desktop,Twitter Web,3,1,0,381,0,760
TW100170,2023-10-28,Oct 2023,Saturday,3,Fashion,#Style,Negative,-0.233,French,Desktop,iPhone,18,6,1,245,0,322
TW100171,2023-01-30,Jan 2023,Monday,21,Climate,#Sustainability,Neutral,-0.098,English,Mobile,Android,12,3,0,1102,0,1166
TW100172,2023-06-05,Jun 2023,Monday,14,Health,#Covid,Negative,-0.994,Hindi,Mobile,Twitter Web,87,17,13,238,0,527
TW100173,2023-03-05,Mar 2023,Sunday,23,Technology,#ChatGPT,Positive,0.306,English,Desktop,Twitter Web,41,5,3,1788,0,3324
TW100174,2023-12-29,Dec 2023,Friday,4,Entertainment,#Hollywood,Positive,0.96,English,Mobile,Twitter Web,30,5,6,61,0,587
TW100175,2023-10-12,Oct 2023,Thursday,12,Politics,#Vote,Neutral,0.006,Hindi,Mobile,iPhone,52,17,12,324,0,1793
TW100176,2023-12-20,Dec 2023,Wednesday,23,Sports,#Football,Positive,0.622,English,Mobile,Android,15,5,2,213,1,163
TW100177,2023-09-30,Sep 2023,Saturday,3,Politics,#Government,Negative,-0.572,French,Web,Twitter Web,29,4,3,33,1,141
TW100178,2023-09-24,Sep 2023,Sunday,5,Fashion,#Designer,Neutral,-0.093,English,Mobile,Twitter Web,11,1,2,314,0,621
TW100179,2023-12-18,Dec 2023,Monday,20,Food,#Recipe,Negative,-0.347,English,Mobile,Twitter Web,17,4,3,224,1,523
TW100180,2023-08-27,Aug 2023,Sunday,5,Sports,#Olympics,Negative,-0.784,Spanish,Mobile,Buffer,1,0,0,177,0,31
TW100181,2023-01-22,Jan 2023,Sunday,14,Health,#Covid,Positive,0.76,English,Desktop,Android,50,14,10,202,1,223
TW100182,2023-11-23,Nov 2023,Thursday,3,Movies,#Oscars,Neutral,0.053,Spanish,Desktop,Twitter Web,2,0,0,537,0,110
TW100183,2023-09-17,Sep 2023,Sunday,7,Health,#Wellness,Negative,-0.73,English,Mobile,TweetDeck,88,10,21,369,0,1845
TW100184,2023-07-07,Jul 2023,Friday,21,Food,#Recipe,Negative,-0.635,English,Mobile,iPhone,7,1,1,1324,0,647
TW100185,2023-06-07,Jun 2023,Wednesday,3,Technology,#ChatGPT,Negative,-0.591,English,Mobile,Android,42,6,8,1008,0,74
TW100186,2023-02-22,Feb 2023,Wednesday,11,Politics,#Policy,Positive,0.149,English,Web,iPhone,34,6,2,496,0,108
TW100187,2023-06-03,Jun 2023,Saturday,10,Technology,#Tech,Negative,-0.715,English,Web,iPhone,54,5,5,675,0,139
TW100188,2023-04-10,Apr 2023,Monday,0,Music,#NewSong,Neutral,-0.001,French,Mobile,TweetDeck,7,2,0,580,1,1859
TW100189,2023-01-23,Jan 2023,Monday,18,Health,#Covid,Positive,0.195,Spanish,Web,Buffer,71,27,13,176,0,7535
TW100190,2023-10-31,Oct 2023,Tuesday,4,Technology,#MachineLearning,Positive,0.267,French,Mobile,iPhone,50,16,2,979,0,1899
TW100191,2023-11-06,Nov 2023,Monday,11,Music,#Music,Negative,-0.123,Spanish,Web,iPhone,15,5,1,667,0,1248
TW100192,2023-01-21,Jan 2023,Saturday,5,Economy,#Bitcoin,Negative,-0.782,English,Web,TweetDeck,45,11,3,582,0,19
TW100193,2023-06-12,Jun 2023,Monday,0,Entertainment,#Netflix,Neutral,-0.02,Spanish,Mobile,TweetDeck,4,1,0,21,0,1487
TW100194,2023-07-05,Jul 2023,Wednesday,0,Technology,#MachineLearning,Negative,-0.736,English,Mobile,Twitter Web,49,6,5,55,0,252
TW100195,2023-01-16,Jan 2023,Monday,12,Music,#Spotify,Positive,0.362,Hindi,Mobile,TweetDeck,56,14,12,465,0,360
TW100196,2023-06-06,Jun 2023,Tuesday,19,Sports,#FIFA,Negative,-0.522,Hindi,Mobile,iPhone,33,9,8,136,0,3290
TW100197,2023-01-17,Jan 2023,Tuesday,3,Food,#Foodie,Neutral,0.005,Spanish,Web,TweetDeck,28,5,2,1999,0,1121
